from (id),to (id),relation,year
fb,cu,7,2004
fb,um,7,2010
fb,sac,6,2006
fb,mdb,2,2013
fb,grj,2,1996
fb,eup,2,2009
fb,btf,2,2013
fb,epc,4,2021
fb,ecf,4,2020
fb,asy,4,2021
fb,tuw,4,2020
fb,iep,4,2020
fb,ebd,4,2020
fb,hia,4,2017
fb,dfi,4,2017
fb,unf,6,2008
fb,ave,4,2017
ft,ggs,7,1999
ft,fmr,6,1999
ft,eku,7,2012
ft,lfa,2,2005
ft,mdb,2,2017
ft,fmg,2,2009
ft,fdp,2,2017
ft,fns,5,2001
ft,kfw,4,2021
ft,sve,4,2021
ft,gsp,3,2021
ft,ass,6,2018
ft,fbd,6,2014
ft,jul,2,2003
rs,hog,7,1982
rs,mdb,2,2005
rs,skv,2,2001
rs,wfs,3,2020
rs,dbu,4,2017
rs,rhb,3,2017
rs,kfw,3,2017
rs,grs,4,2017
rs,spd,2,1994
rs,mas,6,1992
rs,unb,6,2010
rs,ums,1,2013
tl,uk,7,2002
tl,zd,6,2001
tl,kit,6,2007
tl,mdb,2,2011
tl,fbd,2,2011
tl,aif,3,2017
tl,eud,3,2017
tl,fgh,3,2018
tl,rbg,6,2018
tl,dgf,3,2021
tl,grj,2,1999
tl,dvi,6,2019
tl,sam,1,2021
tl,dif,3,2017
bs,krs,7,1997
bs,wgr,7,2003
bs,uk,7,2006
bs,lgs,7,2012
bs,nsu,2,2014
bs,syn,6,2016
bs,fbr,6,2016
bs,mdb,2,2017
bs,asb,2,2020
bs,lkr,2,2019
bs,ams,3,2011
bs,gmb,2,2018
bs,zfo,3,2018
bs,jul,2,2010
bs,oia,2,2020
bs,ssj,1,2021
bs,zoes,3,2018
co,dvi,6,2019
co,erz,6,1987
co,mdb,2,2013
co,zdf,4,2017
co,ssg,4,2018
co,ajc,3,2018
co,btf,2,1981
co,avs,3,2018
co,bvme,3,2018
co,dtf,3,2018
co,ths,3,2018
co,eyg,6,2018
co,snv,3,2018
co,csl,6,2019
co,gsp,3,2021
co,dpz,3,2021
co,dsi,4,2021
co,hbs,3,2021
co,sgf,3,2021
co,iff,3,2021
co,fhs,7,1994
co,grj,2,1981
co,mdb,2,1994
co,csd,4,2007
co,lwm,1,2021
co,uow,6,2003
co,gvd,4,2021
mt,gwd,6,1986
mt,ut,7,1995
mt,ob,6,1995
mt,jul,2,1983
mt,srf,2,1989
mt,lbw,2,2001
mt,eup,2,2009
mt,ths,3,2018
mt,fdp,2,2017
mt,lea,4,2018
mt,ksk,4,2018
mt,lkb,4,2018
mt,rms,3,2018
mt,wds,3,2018
mt,twf,4,2018
mt,ago,3,2018
mt,cnc,4,2018
mt,cka,3,2018
mt,kfw,4,2020
mt,idi,3,2021
mt,wpc,3,2021
mt,mdb,2,2017
mt,svm,1,2021
mt,eud,3,2001
mt,fns,5,2006
ck,ut,7,2009
ck,bdg,2,1998
ck,mdb,2,2013
ck,kvs,2,2006
ck,btf,2,1998
ck,swr,4,2017
ck,prs,3,2017
ck,vwe,3,2018
ck,bsb,3,2021
ck,due,3,2021
ck,eud,3,2013
ck,sum,1,2021
jb,lhs,7,2002
jb,um,7,2005
jb,ses,7,2010
jb,ubn,6,2014
jb,jul,2,2010
jb,mdb,2,2017
jb,bmh,3,2021
jb,das,3,2021
jb,dsw,3,2021
jb,lsl,3,2021
jb,vph,3,2021
jb,yec,3,2021
jb,sbm,1,2021
jb,fdp,2,2006
jb,eud,3,2012
