id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,FranziskaBrantner,0,1,1979,Staatssekretaerin,Promotion,Reformfaehigkeit,DieGruenen,,1,14053,4479,2748,26
cu,,ColumbiaUniversity,1,,,,,,,,,,,,
um,,UniversitaetMannheim,1,,,,,,,,,,,,
sac,,StAntonysCollegeOxford,1,,,,,,,,,,,,
eup,,EuropaeischesParlament,1,,,,,,,,,,,,
epc,,EuropeanPolicyCentre,1,,,,,,,,,,,,
ecf,,EuropeanCouncilofForeignRelations,1,,,,,,,,,,,,
asy,,Asylos,1,,,,,,,,,,,,
tuw,,TuWas,1,,,,,,,,,,,,
iep,,InstitutfuerEuropaeischePolitik,1,,,,,,,,,,,,
ebd,,EuropaeischeBewegungDeutschland,1,,,,,,,,,,,,
hia,,HumanityinAction,1,,,,,,,,,,,,
dfi,,Deutsch-FranzoesischesInstitut,1,,,,,,,,,,,,
unf,,UnitedNationsDevelopementFundforWomen,1,,,,,,,,,,,,
ave,,AvantiEurope,1,,,,,,,,,,,,
ft,Toncar,FlorianToncar,0,2,1979,Staatssekretaer ,Promotion,Jurist,FDP,ev,3,8598,3072,4477,99
ggs,,Goldberg-GymnasiumSindelfingen,1,,,,,,,,,,,,
fmr,,Fernmelderegiment220,1,,,,,,,,,,,,
lfa,,VorsitzenderdesLandesfachausschusses,1,,,,,,,,,,,,
fmg,,Finanzmarktgremium,1,,,,,,,,,,,,
fns,,Friedrich-Naumann-Stiftung ,1,,,,,,,,,,,,
fdp,,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
kfw,,KreditanstaltfuerWiederaufbau,1,,,,,,,,,,,,
sve,,StiftungVerantwortungseigentum,1,,,,,,,,,,,,
gsp,,GesellschaftzumStudiumstrukturpolitischerFragen,1,,,,,,,,,,,,
ass,,AnwaltServiceStuttgartGmbH,1,,,,,,,,,,,,
fbd,,FreshfieldsBruckhausDeringer,1,,,,,,,,,,,,
rs,Schwarzeluehr-Suetter,RitaSchwarzeluehr-Suetter,0,1,1962,Staatssekraeterin,Diplom,Wirtschaftswissenschaften,SPD,ro-ka,2,4253,1536,2943,17
hog,,Hochrhein-Gymnasium,1,,,,,,,,,,,,
skv,,SPD-Kreisverband,1,,,,,,,,,,,,
wfs,,WirtschaftsforumderSPD,1,,,,,,,,,,,,
dbu,,DeutscheBundesstiftungUmwelt,1,,,,,,,,,,,,
rhb,,RegionalverbandHochrhein-Bodensee,1,,,,,,,,,,,,
grs,,GesellschaftfuerAnlagenundReaktorsicherheit,1,,,,,,,,,,,,
spd,,SPD,1,,,,,,,,,,,,
